condition,drugName,avg_rating,review_count,avg_useful,log_useful,log_review_count
ADHD,Adderall,8.224669603524228,227,44.00440528634361,3.8067603802309726,5.429345628954441
ADHD,Adderall XR,8.266187050359711,139,29.402877697841728,3.4145372650453103,4.941642422609304
ADHD,Adzenys XR-ODT,5.9523809523809526,21,8.571428571428571,2.2587824703356527,3.091042453358316
ADHD,Amantadine,8.666666666666666,3,15.666666666666666,2.8134107167600364,1.3862943611198906
ADHD,Amphetamine,6.518518518518518,54,9.333333333333334,2.3353749158170367,4.007333185232471
ADHD,Amphetamine / dextroamphetamine,7.967105263157895,456,31.971491228070175,3.495643285908243,6.124683390894205
ADHD,Aptensio XR,6.833333333333333,6,6.333333333333333,1.992430164690206,1.9459101490553132
ADHD,Armodafinil,8.23076923076923,13,26.923076923076923,3.329453476803314,2.6390573296152584
ADHD,Atomoxetine,5.43859649122807,285,34.487719298245615,3.5691867013712777,5.655991810819852
ADHD,Bupropion,7.5,72,70.18055555555556,4.265219684990553,4.290459441148391
ADHD,Catapres,9.333333333333334,3,40.0,3.713572066704308,1.3862943611198906
ADHD,Clonidine,8.25,36,56.77777777777778,4.056604234239254,3.6109179126442243
ADHD,Concerta,7.132295719844358,257,39.237354085603116,3.694795770289755,5.552959584921617
ADHD,Cylert,9.571428571428571,7,10.428571428571429,2.436116485618568,2.0794415416798357
ADHD,Daytrana,8.262295081967213,61,24.081967213114755,3.22214915021317,4.127134385045092
ADHD,Desoxyn,9.631578947368421,19,81.57894736842105,4.413754773566592,2.995732273553991
ADHD,Desvenlafaxine,8.666666666666666,3,16.333333333333332,2.8526314299133175,1.3862943611198906
ADHD,Dexedrine,8.421052631578947,57,46.03508771929825,3.8508938704014093,4.060443010546419
ADHD,Dexmethylphenidate,7.441666666666666,120,33.5,3.5409593240373143,4.795790545596741
ADHD,Dextroamphetamine,8.712765957446809,94,33.319148936170215,3.5357034764151503,4.553876891600541
ADHD,Dyanavel XR,6.0,10,9.4,2.341805806147327,2.3978952727983707
ADHD,Evekeo,7.3,20,10.15,2.411439497906128,3.044522437723423
ADHD,Focalin,6.886792452830188,53,38.283018867924525,3.6707923356227923,3.9889840465642745
ADHD,Focalin XR,7.844827586206897,58,33.96551724137931,3.5543623541646543,4.07753744390572
ADHD,Guanfacine,5.737179487179487,156,50.44871794871795,3.940585543577325,5.056245805348308
ADHD,Intuniv,6.177570093457944,107,66.95327102803738,4.218820278188151,4.68213122712422
ADHD,Kapvay,7.352941176470588,17,77.41176470588235,4.361973976122493,2.8903717578961645
ADHD,Lisdexamfetamine,7.697080291970803,548,31.81934306569343,3.4910180691817088,6.3080984415095305
ADHD,Metadate CD,7.117647058823529,34,30.08823529411765,3.436829461254076,3.5553480614894135
ADHD,Methamphetamine,8.714285714285714,28,58.714285714285715,4.089571283469443,3.367295829986474
ADHD,Methylin,8.181818181818182,11,21.818181818181817,3.1275576663334133,2.4849066497880004
ADHD,Methylin ER,8.5,8,19.0,2.995732273553991,2.1972245773362196
ADHD,Methylphenidate,7.382066276803119,513,31.52046783625731,3.481869670684904,6.2422232654551655
ADHD,Modafinil,8.823529411764707,17,51.23529411764706,3.955758398935954,2.8903717578961645
ADHD,Mydayis,4.533333333333333,15,10.0,2.3978952727983707,2.772588722239781
ADHD,Nuvigil,8.285714285714286,7,40.285714285714285,3.720516539057119,2.0794415416798357
ADHD,Omega-3 polyunsaturated fatty acids,8.166666666666666,6,54.833333333333336,4.022371062597012,1.9459101490553132
ADHD,Pemoline,9.571428571428571,7,10.428571428571429,2.436116485618568,2.0794415416798357
ADHD,Provigil,9.2,5,106.8,4.680277658474897,1.791759469228055
ADHD,Quillivant XR,5.357142857142857,14,8.142857142857142,2.2129729343043585,2.70805020110221
ADHD,Ritalin,7.447368421052632,76,35.76315789473684,3.604496199530576,4.343805421853684
ADHD,Ritalin LA,9.2,10,16.8,2.8791984572980396,2.3978952727983707
ADHD,Strattera,5.433212996389892,277,35.44043321299639,3.595678960712869,5.627621113690637
ADHD,Vyvanse,7.677777777777778,540,32.27962962962963,3.504945486973702,6.293419278846481
ADHD,Wellbutrin,5.5,4,112.0,4.727387818712341,1.6094379124341003
ADHD,Wellbutrin SR,8.0,4,153.25,5.038574662785497,1.6094379124341003
ADHD,Wellbutrin XL,8.909090909090908,11,74.72727272727273,4.327138369368472,2.4849066497880004
ADHD,Zenzedi,8.5,8,12.0,2.5649493574615367,2.1972245773362196
AIDS Related Wasting,Dronabinol,7.333333333333333,3,24.333333333333332,3.2321210516182215,1.3862943611198906
Abnormal Uterine Bleeding,Alesse,4.875,8,3.75,1.55814461804655,2.1972245773362196
Abnormal Uterine Bleeding,Apri,6.0,5,3.2,1.4350845252893227,1.791759469228055
Abnormal Uterine Bleeding,Aviane,7.636363636363637,11,4.2727272727272725,1.6625477377480486,2.4849066497880004
Abnormal Uterine Bleeding,Aygestin,3.6666666666666665,3,11.0,2.4849066497880004,1.3862943611198906
Abnormal Uterine Bleeding,Conjugated estrogens,5.0,4,2.75,1.3217558399823195,1.6094379124341003
Abnormal Uterine Bleeding,Cryselle,4.3,10,3.0,1.3862943611198906,2.3978952727983707
Abnormal Uterine Bleeding,Depo-Provera,3.1195402298850574,435,13.903448275862068,2.7015926140863114,6.077642243349034
Abnormal Uterine Bleeding,Desogestrel / ethinyl estradiol,6.0,5,3.2,1.4350845252893227,1.791759469228055
Abnormal Uterine Bleeding,Errin,3.25,4,20.5,3.068052935133617,1.6094379124341003
Abnormal Uterine Bleeding,Estarylla,3.6666666666666665,21,3.5238095238095237,1.5093544538771178,3.091042453358316
Abnormal Uterine Bleeding,Ethinyl estradiol / etonogestrel,3.6,5,0.0,0.0,1.791759469228055
Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,4.4,145,6.048275862068966,1.9527830283430754,4.983606621708336
Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,5.584070796460177,113,7.061946902654867,2.087155078547618,4.736198448394496
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestimate,4.567839195979899,199,6.57286432160804,2.024571373902003,5.298317366548036
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel,5.863636363636363,22,3.272727272727273,1.452252328911688,3.1354942159291497
Abnormal Uterine Bleeding,Falmina,5.666666666666667,3,2.0,1.0986122886681098,1.3862943611198906
Abnormal Uterine Bleeding,Gildess Fe 1 / 20,3.5,6,0.6666666666666666,0.5108256237659906,1.9459101490553132
Abnormal Uterine Bleeding,Jolessa,4.166666666666667,6,5.166666666666667,1.8191584434161694,1.9459101490553132
Abnormal Uterine Bleeding,Jolivette,2.25,4,16.5,2.8622008809294686,1.6094379124341003
Abnormal Uterine Bleeding,Junel Fe 1 / 20,5.444444444444445,9,9.555555555555555,2.3566523142643216,2.302585092994046
Abnormal Uterine Bleeding,Junel Fe 1.5 / 30,1.0,3,7.333333333333333,2.120263536200091,1.3862943611198906
Abnormal Uterine Bleeding,Levlen,7.5,4,5.25,1.8325814637483102,1.6094379124341003
Abnormal Uterine Bleeding,Levonorgestrel,5.264788732394366,355,13.929577464788732,2.7033443100647974,5.87493073085203
Abnormal Uterine Bleeding,Levora,5.0,6,3.8333333333333335,1.575536360758419,1.9459101490553132
Abnormal Uterine Bleeding,LoSeasonique,4.214285714285714,14,6.571428571428571,2.0243817644968085,2.70805020110221
Abnormal Uterine Bleeding,Loestrin 24 Fe,6.208333333333333,48,11.6875,2.540617256802006,3.8918202981106265
Abnormal Uterine Bleeding,Lutera,4.333333333333333,3,9.0,2.302585092994046,1.3862943611198906
Abnormal Uterine Bleeding,Lyza,2.3333333333333335,6,8.833333333333334,2.2857779746776643,1.9459101490553132
Abnormal Uterine Bleeding,Medroxyprogesterone,3.328,500,15.766,2.8193530262156656,6.2166061010848646
Abnormal Uterine Bleeding,Megestrol,6.6,20,23.35,3.192531849528599,3.044522437723423
Abnormal Uterine Bleeding,Mestranol / norethindrone,9.0,3,0.3333333333333333,0.2876820724517809,1.3862943611198906
Abnormal Uterine Bleeding,Microgestin 1 / 20,3.0,3,7.333333333333333,2.120263536200091,1.3862943611198906
Abnormal Uterine Bleeding,Microgestin Fe 1 / 20,4.6,5,4.2,1.6486586255873816,1.791759469228055
Abnormal Uterine Bleeding,Mirena,5.207951070336391,327,15.119266055045872,2.7800152059579535,5.793013608384144
Abnormal Uterine Bleeding,Mononessa,5.538461538461538,26,8.923076923076923,2.294863046900135,3.295836866004329
Abnormal Uterine Bleeding,Necon 1 / 35,7.666666666666667,3,2.0,1.0986122886681098,1.3862943611198906
Abnormal Uterine Bleeding,Necon 1 / 50,9.0,3,0.3333333333333333,0.2876820724517809,1.3862943611198906
Abnormal Uterine Bleeding,Nora-Be,5.066666666666666,15,16.6,2.8678989020441064,2.772588722239781
Abnormal Uterine Bleeding,Norethindrone,4.0875,80,14.15,2.7180005319553784,4.394449154672439
Abnormal Uterine Bleeding,Orsythia,5.666666666666667,3,6.333333333333333,1.992430164690206,1.3862943611198906
Abnormal Uterine Bleeding,Ortho Micronor,6.777777777777778,9,29.333333333333332,3.41224721784874,2.302585092994046
Abnormal Uterine Bleeding,Ortho Tri-Cyclen,7.125,8,5.375,1.8523840910444898,2.1972245773362196
Abnormal Uterine Bleeding,Ortho Tri-Cyclen Lo,5.6,5,6.0,1.9459101490553132,1.791759469228055
Abnormal Uterine Bleeding,Premarin,3.6666666666666665,3,3.6666666666666665,1.5404450409471488,1.3862943611198906
Abnormal Uterine Bleeding,Previfem,6.285714285714286,7,0.42857142857142855,0.35667494393873234,2.0794415416798357
Abnormal Uterine Bleeding,Provera,4.8125,48,37.770833333333336,3.6576682457343597,3.8918202981106265
Abnormal Uterine Bleeding,Quasense,2.75,8,5.125,1.8123787564307907,2.1972245773362196
